subject_id,image_number,rating
101,10,1.03
101,8,0.0
101,47,0.01
101,16,0.19
101,39,0.0
101,31,1.54
101,40,0.21
101,20,1.36
101,49,0.0
101,11,0.0
101,44,0.56
101,24,0.76
101,37,0.49
101,7,0.0
101,26,0.0
101,54,1.67
101,9,0.54
101,5,0.34
103,26,1.52
103,9,0.29
103,16,0.79
103,47,1.85
103,10,0.86
103,40,0.43
103,11,1.58
103,5,0.51
103,39,1.11
103,49,1.62
103,24,0.86
103,31,0.77
103,8,1.68
103,54,0.85
103,37,0.84
103,20,1.2
103,7,0.42
103,44,0.42
105,37,0.62
105,26,0.41
105,7,1.53
105,20,0.38
105,10,1.46
105,31,1.34
105,11,1.72
105,24,0.75
105,44,0.4
105,9,0.36
105,54,1.71
105,40,1.45
105,49,1.86
105,8,1.2
105,16,1.64
105,47,1.79
105,39,0.53
105,5,1.38
107,9,0.86
107,24,1.22
107,10,1.11
107,37,1.31
107,5,1.18
107,8,1.91
107,7,1.29
107,16,1.6
107,20,1.13
107,11,1.92
107,47,1.05
107,39,1.1
107,54,1.57
107,26,0.93
107,44,0.88
107,40,1.29
107,49,1.71
107,31,1.17
109,26,1.09
109,37,1.44
109,11,1.39
109,7,0.0
109,44,1.28
109,16,1.73
109,54,2.0
109,24,1.15
109,47,1.83
109,49,1.06
109,31,1.46
109,20,1.27
109,40,1.48
109,9,1.2
109,10,1.67
109,8,1.29
109,39,0.0
109,5,1.79
111,31,1.35
111,54,0.46
111,9,0.35
111,10,1.08
111,8,1.35
111,26,0.81
111,39,0.0
111,7,0.25
111,49,0.31
111,37,0.27
111,11,0.43
111,24,0.73
111,40,0.78
111,5,0.65
111,20,1.67
111,44,0.78
111,16,0.76
111,47,0.72
113,47,1.51
113,49,0.0
113,37,1.79
113,20,0.59
113,10,1.76
113,39,0.07
113,11,1.3
113,40,1.0
113,5,0.77
113,8,0.77
113,16,1.52
113,24,0.64
113,7,0.0
113,9,0.9
113,26,0.22
113,44,1.21
113,54,1.47
113,31,1.52
115,47,1.4
115,37,1.85
115,8,0.0
115,11,0.23
115,24,1.09
115,44,0.63
115,40,0.75
115,10,0.49
115,7,0.17
115,54,1.11
115,16,0.05
115,31,1.38
115,20,1.2
115,39,0.0
115,9,0.52
115,26,0.0
115,49,0.3
115,5,0.13
